wave         ion     OS         ??
256.317      HeII    0.0790     1.897E8
303.7822     HeII    0.416      6.270E8
515.6165     HeI     0.0154     2.000E8
522.2128     HeI     0.0307     2.000e8
537.0296     HeI     0.0752     2.000e8
584.334      HeI     0.285000   2.000e8
609.79       MgX     0.0842     2.000E8
624.95       MgX     0.0410     2.000E8
702.332      OIII    0.137      2.000E8
770.409      NeVIII  0.103000   1.000e8
780.324      NeVIII  0.050500   1.000e8
787.711      OIV     0.110      2.000E8
832.7572     OII     0.0444     2.00E8
832.927      OIII    0.107      2.000E8
833.3294     OII     0.0886     2.00E8
834.4655     OII     0.132      2.000E8
912.645      HI      0.000048   1.277E5
912.703      HI      0.000053   1.405E5
912.768      HI      0.000058   1.550E5
912.839      HI      0.000064   1.716E5
912.918      HI      0.000071   1.907E5
913.006      HI      0.000080   2.127E5
913.104      HI      0.000089   2.382E5
913.215      HI      0.000101   2.679E5
913.339      HI      0.000114   3.030E5
913.480      HI      0.000129   3.443E5
913.641      HI      0.000148   3.933E5
913.826      HI      0.000170   4.523E5
913.968      PIII    0.203100   4.804E9
914.039      HI      0.000197   5.237E5
914.286      HI      0.000230   6.109E5
914.576      HI      0.000270   7.186E5
914.919      HI      0.000321   8.533E5
915.080      DI      0.000386   1.024E6
915.329      HI      0.000386   1.024E6
915.575      DI      0.000469   1.243E6
915.612      NII     0.1449     1.151e9
915.824      HI      0.000469   1.243E6
916.179      DI      0.000577   1.529E6
916.429      HI      0.000577   1.529E6
916.931      DI      0.000723   1.910E6
917.118      PIII    0.404900   4.792E9
917.1806     HI      7.226e-4   1.910E6
917.879      DI      0.000921   2.430E6
918.1294     HI      0.000921   2.430E6
919.102      DI      0.001201   3.158E6
919.3514     HI      0.00120    3.158E6
920.712      DI      0.001605   4.208E6
920.9631     HI      0.001605   4.208E6
922.899      DI      0.002216   5.782E6
923.1504     HI      0.002216   5.782E6
925.9737     DI      0.003184   8.256E6
926.2257     HI      0.003183   8.249E6
930.4951     DI      0.004817   1.237E7
930.7483     HI      0.004814   1.236E7
933.378      SVI     0.4414     1.690e9
936.6295     OI      3.735e-3   1.704e7
937.5484     DI      0.007808   4.127E7
937.8035     HI      0.007799   4.423E7
937.8405     OI      8.722e-4   1.102e7
944.523      SVI     0.2181     1.631e9
945.191      CI      0.272600   6.783E8
948.6855     OI      6.446e-3   2.900e7
949.4847     DI      0.013950   7.646E7
949.7431     HI      0.013940   7.640E7
950.657      PIV     1.163      2.860e9
950.8846     OI      1.571e-3   3.876e7
961.041      PII     0.348900   8.400E8
963.801      PII     1.458000   3.490E9
963.9903     NI      0.01837    1.128e8
964.6256     NI      0.01180    1.095e8
965.0413     NI      0.005801   1.080e8
971.738      OI      0.014800   6.600e7
972.2722     DI      0.029010   8.132E7
972.5368     HI      0.029000   8.126E7
976.4481     OI      0.003300   8.010e7
977.020      CIII    0.7620     1.775E9
988.5778     OI      0.0005146  2.384E8
988.6549     OI      0.007712   2.388E8
988.7734     OI      0.043180   2.394E8
989.799      NIII    0.106600   4.352e8
989.8731     SiII    0.133000   6.673e8
998.000      PIII    0.111700   2.220E9
1012.502     SIII    0.03550    2.281e8
1020.6989    SiII    0.028280   6.680e8
1025.4433    DI      0.079100   1.898E8
1025.7223    HI      0.079120   1.897E8
1025.762     OI      0.020300   1.007E8
1026.4757    OI      0.002460   5.303E7
1031.927     OVI     0.132900   4.163e8
1036.299     BeII    0.053450   1.788E8
1036.319     BeII    0.026730   1.788E8
1036.3367    CII     0.1231     2.290e9
1037.0182    CII*    0.1230     2.290e9
1037.616     OVI     0.066090   4.095e8
1039.2304    OI      0.009197   1.888E8
1048.2199    ArI     0.2441     4.940e8
1055.2617    FeII    0.007514   5.989e7
1062.152     FeII    0.003800   2.248e7
1062.662     SIV     0.03999    1.410e8
1063.176     FeII    0.060000   3.539E8
1063.9718    FeII    0.003718   3.313e7
1066.660     ArI     0.06652    1.300e8
1081.8748    FeII    0.014000   2.000E8
1083.4204    FeII    0.004060   2.000E8
1083.990     NII     0.1031     3.508e8
1096.8769    FeII    0.032400   2.000E8
1106.3596    FeII    0.001500   2.000E8
1112.048     FeII    0.006290   2.000E8
1117.977     PV      0.4732     1.263e9
1121.975     FeII    0.020220   2.000E8
1122.526     FeIII   0.078840   5.366e8
1125.448     FeII    0.0163     2.000E8
1127.098     FeII    0.001283   2.000E8
1128.008     PV      0.2345     1.229e9
1133.665     FeII    0.00558    2.000E8
1134.1653    NI      0.01342    1.392e8
1134.4149    NI      0.02683    1.391e8
1134.9803    NI      0.04023    1.389e8
1139.793     CI      0.013960   2.389e7
1142.3656    FeII    0.00423    3.195e7
1143.226     FeII    0.01771    6.790e7
1144.9379    FeII    0.10610    4.450E8
1152.818     PII     0.236100   3.950E8
1155.8092    CI      0.017250   2.870e7
1157.1857    CI      0.549500   9.125E8
1157.9097    CI      0.021780   3.612e7
1188.8332    CI      0.016760   2.637E7
1190.208     SIII    0.02217    6.232e7
1190.4158    SiII    0.250200   3.503E9
1193.0308    CI      0.044470   1.302E8
1193.2897    SiII    0.499100   3.495e9
1193.9955    CI      0.009407   1.467E7
1194.0964    SiII^   0.7482     3.50E9
1194.5002    SiII*   0.623300   3.503E9
1197.184     MnII    0.1566     5.670e8
1197.3938    SiII*   0.124300   3.495e9
1199.391     MnII    0.1059     4.911e8
1199.5496    NI      0.13280    4.104e8
1200.2233    NI      0.08849    4.097e8
1200.7098    NI      0.04423    4.093e8
1201.118     MnII    0.08809    5.702e8
1206.500     SiIII   1.669000   2.550e9
1215.3394    DI      0.416500   6.270E8
1215.6701    HI      0.416400   6.265E8
1238.821     NV      0.157000   3.411e8
1239.9253    MgII    0.00064    5.802e5
1240.3947    MgII    0.00032    5.796e5
1242.804     NV      0.078230   3.378e8
1250.584     SII     0.005453   5.260e7
1253.811     SII     0.01088    4.620e7
1259.519     SII     0.01624    4.560e7
1260.4221    SiII    1.007000   2.533E9
1260.533     FeII    0.025000   1.312E8
1260.7355    CI      0.039370   1.868e8
1263.3135    SiII^   1.005      2.52E9
1264.7377    SiII*   0.903400   2.512E9
1265.0020    SiII*   0.100400   2.533E9
1276.4825    CI      0.004502   8.790E7
1277.2454    CI      0.096650   2.590E8
1280.1353    CI      0.024320   1.063E8
1295.6531    SI      0.1233     4.900e8
1298.697     TiIII   0.09057    6.266e8
1301.874     PII     0.017250   2.263E7
1302.1685    OI      0.048870   5.750e8
1304.3702    SiII    0.09400    1.720E9
1304.8576    OI*     0.04877    5.750e8
1306.0286    OI**    0.04873    5.750e8
1307.6365    SiII^   0.1470     1.72E9
1309.2757    SiII*   0.14680    1.142E9
1317.217     NiII    0.08600    4.205e8
1328.8333    CI      0.058040   2.203E8
1334.5323    CII     0.1278     2.870e8
1334.813     PIII    0.025290   5.659E7
1335.6627    CII*    0.01277    2.870e8
1335.7077    CII*    0.1149     2.864e8
1347.2396    ClI     0.1186     5.088e8
1355.5977    OI      1.248e-6   4.530E3
1358.773     CuII    0.380300   9.470e8
1362.461     BII     0.9868     1.182E9
1370.132     NiII    0.076500   6.975e8
1393.324     NiII    0.01000    7.636E7
1393.76018   SiIV    0.5140     8.825e8
1402.77291   SiIV    0.2553     8.656e8
1414.402     GaII    1.80000    6.000E8
1425.0299    SI      0.1918     4.500e8
1454.842     NiII    0.030      1.877E8
1466.21      CoII    0.0311     1.500E8
1467.259     NiII    0.0062     5.156E7
1467.756     NiII    0.0098     5.269E7
1473.9943    SI      0.07296    1.600e8
1480.96      CoII    0.01191    5.588e7
1502.148     NiII    0.01330    3.932E7
1526.70698   SiII    0.12700    1.960E9
1531.1831    SiII^   0.02296    1.96E9
1532.533     PII     0.00761    2.000E8
1533.4312    SiII*   0.13200    1.960E9
1548.2041    CIV     0.190800   2.654E8
1550.7812    CIV     0.095220   2.641E8
1552.750     CoII    0.01169    4.137e7
1560.3092    CI      0.080410   1.321e8
1560.6822    CI*     0.060300   1.321E8
1560.7090    CI*     0.020100   1.321E8
1561.3402    CI**    0.012050   1.321E8
1561.3667    CI**    0.000804   1.321E8
1561.4384    CI**    0.067500   1.319E8
1562.002     SiI     0.3758     3.425e8
1572.648     CoII    0.0121     8.705e7
1574.545     CoII    0.0252     2.156e8
1588.6876    FeII    0.0001239  4.092e5
1602.4863    GeII    0.1345     9.906e8
1608.45085   FeII    0.0585     1.996e8
1611.20034   FeII    0.00102    7.141e5
1631.1705    SiI     0.2051     1.714e8
1656.2672    CI*     0.058570   3.415e8
1656.9283    CI      0.140500   3.410e8
1657.0082    CI**    0.105400   3.415E8
1657.3792    CI*     0.035120   3.410E8
1657.9068    CI*     0.046810   3.408E8
1658.1212    CI**    0.035110   3.410e8
1670.7886    AlII    1.8330     1.460e9
1703.4119    NiII    0.0060     4.221E7
1707.061     MgI     0.004142   3.160e6
1709.6042    NiII    0.0324     1.571E8
1741.5531    NiII    0.042700   2.276E8
1747.7937    MgI     0.009343   6.800e6
1751.9157    NiII    0.027700   1.040E8
1774.9487    PI      0.1543     2.177e8
1807.3113    SI      0.1105     6.700e8
1808.01288   SiII    0.00218    6.749e6
1827.9351    MgI     0.024500   1.630e7
1845.5202    SiI     0.22910    1.496e8
1854.71829   AlIII   0.5602     5.432e8
1862.79113   AlIII   0.2789     5.361e8
1901.7730    FeII    0.0001009  2.327E5
1910.609     TiII    0.104      2.000E8
1910.938     TiII    0.0980     2.000E8
1941.290     CoII    0.0343     1.717e8
2012.161     CoII    0.03822    7.684e7
2026.13709   ZnII    0.489000   4.184e8
2026.407     CoII    0.0121     9.828e7
2026.4768    MgI     0.1154     7.250e7
2056.25693   CrII    0.1050     1.660e8
2059.471     CoII    0.0071     1.668e7
2062.23610   CrII    0.0780     1.646e8
2062.66045   ZnII    0.256000   3.965e8
2066.16403   CrII    0.05150    1.636e8
2167.453     FeI     0.150000   2.000E8
2249.8768    FeII    0.001821   4.138e6
2260.7805    FeII    0.002442   4.849e6
2264.1637    AlI     0.08921    7.166e7
2311.669     NiI     0.376500   4.700E8
2320.744     NiI     0.685100   6.942E8
2335.123     SiII    3.720E-6   7.550e3
2344.2130    FeII    0.1142     2.680e8
2367.5905    FeII    0.0000628  2.379e5
2367.7762    AlI     0.1056     7.605e7
2374.4603    FeII    0.031314   2.990E8
2382.7642    FeII    0.300      3.100E8
2463.392     FeI     0.053200   2.000E8
2484.021     FeI     0.557000   2.000E8
2501.886     FeI     0.049600   2.000E8
2515.073     SiI     0.1622     1.685e8
2523.608     FeI     0.279000   2.000E8
2576.877     MnII    0.3508     2.741e8
2586.6496    FeII    0.069125   2.720E8
2594.499     MnII    0.2710     2.685e8
2600.1725    FeII    0.2394     2.700e8
2606.462     MnII    0.1927     2.648e8
2719.833     FeI     0.119000   2.000E8
2796.3543    MgII    0.6123     2.612e8
2803.5315    MgII    0.3083     2.592e8
2852.963108  MgI     1.830000   5.000e8
2967.765     FeI     0.043800   2.000E8
3021.5189    FeI     0.10390    2.000E8
3067.245     TiII    0.04655    2.500e8
3073.877     TiII    0.1091     2.500e8
3083.0479    AlI     0.1707     7.177e7
3131.327     BeII    0.338200   1.150E8
3131.973     BeII    0.169000   1.150E8
3230.131     TiII    0.05861    2.350e8
3242.929     TiII    0.1832     2.350e8
3303.319     NaI     0.008966   9.641e6
3303.929     NaI     0.004482   9.639e6
3384.740     TiII    0.3401     1.730e8
3720.993     FeI     0.041190   2.000E8
3934.777     CaII    0.6346     1.456e8
3945.1224    AlI     0.1134     1.445e8
3969.591     CaII    0.3145     1.414e8
4227.918     CaI     1.753      2.180e8
4341.690     HI2     0.044370   9.425E6
4862.688     HI2     0.121800   2.062E7
5891.5833    NaI     0.6311     6.064e7
5897.5581    NaI     0.3180     6.098e7
6564.623     HI2     0.695800   6.465E7
